EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
158893.700,182933.900,306579.500,276580.700,166126.800,161620.200,148791.100,165409.900,0.000
158887.700,182988.300,306606.000,276557.500,166321.800,161675.700,148849.300,165480.800,0.000
158864.500,182938.400,306457.400,276404.200,166198.000,161644.800,148764.100,165325.800,0.000
158851.000,182843.400,306283.800,276294.300,165913.800,161551.400,148645.800,165163.900,0.000
158875.000,182846.000,306285.700,276347.800,165870.100,161543.700,148664.400,165207.900,0.000
158898.300,182936.400,306408.500,276452.700,166123.500,161615.500,148790.000,165402.600,0.000
158898.800,182996.300,306444.000,276433.100,166326.700,161673.900,148846.400,165477.000,0.000
158875.900,182945.500,306301.100,276279.100,166202.200,161634.500,148756.100,165323.700,0.000
158853.300,182845.800,306127.300,276159.600,165914.400,161539.000,148634.500,165150.000,0.000
158881.000,182851.400,306135.700,276221.100,165874.100,161527.800,148656.900,165197.400,0.000
158909.700,182942.200,306263.500,276332.200,166125.800,161601.600,148780.500,165392.300,0.000
158903.300,182997.900,306298.700,276312.500,166324.900,161657.200,148835.900,165466.000,0.000
158870.400,182940.300,306149.100,276155.600,166194.200,161613.300,148740.900,165310.900,0.000
158862.600,182852.400,305986.600,276053.400,165917.800,161532.800,148628.600,165145.300,0.000
158880.000,182849.000,305986.700,276107.200,165868.700,161519.200,148642.400,165192.900,0.000
158899.100,182936.000,306109.900,276214.100,166121.400,161596.200,148769.500,165390.300,0.000
158893.500,182996.300,306146.400,276196.600,166327.900,161663.000,148834.900,165465.600,0.000
158864.300,182943.300,306001.000,276047.200,166208.100,161624.800,148753.000,165325.800,0.000
158850.500,182849.900,305829.000,275936.400,165925.300,161538.500,148635.400,165156.700,0.000
158872.500,182847.800,305827.000,275987.600,165874.500,161525.200,148654.000,165194.400,0.000
158899.200,182938.400,305953.700,276095.300,166126.800,161605.600,148784.600,165391.100,0.000
158897.300,182995.600,305992.200,276075.900,166328.000,161664.200,148843.000,165465.100,0.000
158875.200,182943.800,305853.300,275928.600,166209.000,161621.300,148752.000,165316.700,0.000
158859.500,182849.000,305681.800,275815.700,165923.100,161534.400,148632.800,165142.100,0.000
158875.800,182847.900,305676.900,275867.300,165865.400,161525.000,148653.800,165186.500,0.000
158892.700,182933.300,305798.900,275978.200,166108.100,161596.500,148778.100,165384.900,0.000
158880.800,182986.200,305835.000,275960.700,166311.100,161653.500,148832.700,165457.500,0.000
158854.200,182933.900,305697.600,275815.500,166199.100,161619.000,148747.900,165315.800,0.000
158845.700,182843.700,305534.100,275706.300,165920.200,161535.200,148632.700,165145.300,0.000
158856.500,182829.100,305520.800,275738.800,165852.500,161509.000,148637.100,165170.500,0.000
158877.500,182910.900,305638.200,275845.400,166092.000,161575.300,148757.500,165362.500,0.000
158880.100,182972.100,305683.600,275838.000,166302.500,161636.800,148824.200,165449.000,0.000
158853.600,182917.600,305543.500,275688.600,166188.500,161597.600,148735.300,165304.500,0.000
158845.200,182829.500,305381.500,275585.900,165908.800,161519.700,148622.700,165130.800,0.000
158866.300,182829.000,305385.000,275640.300,165846.300,161501.700,148634.400,165169.400,0.000
158896.100,182930.500,305524.500,275761.000,166097.400,161584.900,148767.000,165367.600,0.000
158895.500,182995.300,305575.300,275756.300,166313.100,161648.200,148834.500,165452.300,0.000
158872.700,182946.000,305445.000,275620.100,166208.200,161617.200,148754.100,165313.700,0.000
158854.600,182845.400,305271.100,275503.300,165917.800,161529.200,148631.700,165137.200,0.000
158877.200,182839.800,305265.200,275552.800,165853.000,161513.400,148643.100,165170.900,0.000
158903.500,182933.300,305394.000,275667.800,166100.700,161593.600,148773.000,165367.700,0.000
158894.600,182992.800,305435.800,275659.900,166312.700,161656.900,148840.700,165456.100,0.000
158865.800,182943.100,305295.300,275515.500,166208.300,161626.500,148761.400,165320.100,0.000
158843.200,182843.300,305097.800,275395.400,165917.400,161539.500,148637.300,165144.400,0.000
158859.800,182835.000,305053.800,275435.500,165842.600,161523.500,148645.900,165169.900,0.000
158888.600,182926.400,305159.300,275547.500,166087.200,161602.000,148779.000,165365.100,0.000
158890.800,182998.300,305198.900,275551.300,166312.200,161674.300,148856.100,165464.000,0.000
158855.700,182945.300,305045.800,275403.200,166204.400,161634.800,148772.900,165322.400,0.000
158842.000,182847.700,304862.700,275286.700,165913.300,161548.000,148652.000,165141.800,0.000
158855.500,182830.400,304835.300,275331.900,165832.600,161518.800,148654.000,165169.000,0.000
158881.400,182918.800,304954.000,275451.900,166074.000,161589.100,148777.100,165361.400,0.000
158880.200,182982.000,305004.200,275456.300,166296.400,161656.100,148845.100,165452.600,0.000
158848.800,182927.200,304863.100,275308.800,166192.000,161621.500,148757.700,165313.600,0.000
158840.200,182839.800,304697.200,275200.700,165912.800,161538.600,148641.600,165139.900,0.000
158858.400,182832.200,304691.000,275247.100,165838.600,161518.300,148648.900,165164.700,0.000
158881.000,182921.900,304817.000,275360.600,166078.800,161592.200,148768.900,165356.300,0.000
158877.200,182989.600,304868.900,275363.600,166300.600,161656.700,148837.800,165448.700,0.000
158850.700,182941.500,304735.800,275224.600,166200.300,161625.100,148762.000,165306.700,0.000
158842.600,182851.000,304563.800,275113.300,165915.900,161542.200,148642.400,165131.700,0.000
158856.500,182838.000,304544.800,275157.500,165839.900,161521.700,148648.100,165157.400,0.000
158883.000,182929.600,304672.200,275277.200,166083.600,161601.100,148774.000,165353.000,0.000
158881.000,182990.500,304719.700,275276.700,166305.200,161663.800,148840.800,165445.200,0.000
158851.200,182938.600,304582.700,275133.500,166204.100,161623.600,148754.800,165307.400,0.000
158837.800,182853.400,304415.400,275027.200,165922.700,161548.800,148643.100,165135.400,0.000
158849.100,182839.800,304395.400,275066.800,165839.000,161518.000,148645.900,165159.600,0.000
158879.800,182935.800,304529.500,275186.600,166082.700,161596.500,148777.800,165360.100,0.000
158880.500,183007.100,304590.800,275192.500,166313.500,161669.800,148854.800,165461.400,0.000
158845.600,182954.700,304458.800,275044.400,166216.100,161633.500,148773.100,165321.900,0.000
158830.100,182855.100,304285.800,274930.800,165929.300,161546.600,148650.800,165139.700,0.000
158849.900,182839.800,304275.800,274979.000,165847.200,161526.600,148658.200,165164.600,0.000
158878.600,182929.300,304411.800,275098.900,166083.000,161599.400,148785.800,165357.200,0.000
158868.000,182987.200,304460.500,275098.000,166301.200,161651.300,148848.700,165452.000,0.000
158834.500,182933.800,304324.800,274951.700,166202.100,161611.000,148759.600,165309.000,0.000
158826.500,182846.600,304155.800,274841.100,165923.200,161536.000,148650.800,165135.700,0.000
158839.000,182830.000,304133.800,274877.400,165831.600,161507.500,148648.900,165154.800,0.000
158857.300,182914.900,304260.300,274990.900,166064.800,161573.000,148767.300,165345.600,0.000
